name;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1817.0.mata;0.12; 0.105715; 0.015459; 0.002751; 0.000211; 0.00012; false; 0.134756
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1847.0.mata;0.04; 0.036026; 0.009808; 0.002701; 0.000172; 6.3e-05; false; 0.055625
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_187.0.mata;0.01; 0.013023; 0.002567; 0.000787; 6.8e-05; 3.7e-05; false; 0.018184
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1874.0.mata;0.06; 0.048783; 0.010931; 0.002702; 0.000218; 0.00015; false; 0.068814
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1875.0.mata;0.06; 0.043994; 0.011394; 0.002858; 0.000304; 0.000135; false; 0.064533
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1877.0.mata;0.08; 0.063884; 0.01472; 0.002505; 0.000182; 0.000102; false; 0.088263
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1878.0.mata;0.05; 0.043437; 0.006667; 0.001271; 0.000102; 6.5e-05; false; 0.055749
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1879.0.mata;0.07; 0.058308; 0.010728; 0.002539; 0.00017; 0.00011; false; 0.078575
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1887.0.mata;0.08; 0.060911; 0.011258; 0.003011; 0.000363; 0.000193; false; 0.083068
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1897.0.mata;0.07; 0.060865; 0.012966; 0.002704; 0.00018; 0.000133; false; 0.083601
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_277.0.mata;0.03; 0.024148; 0.004693; 0.000995; 8.9e-05; 6e-05; false; 0.03363
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_357.0.mata;0.03; 0.026209; 0.005173; 0.001924; 0.000127; 6.9e-05; false; 0.036833
