name;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1761.0.mata;0.2; 0.172695; 0.038954; 0.002966; 0.000861; 5.1e-05; 4e-05; false; 0.218924
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1764.0.mata;0.11; 0.095739; 0.024857; 0.001954; 0.000476; 3.4e-05; 3.4e-05; false; 0.125541
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1767.0.mata;0.21; 0.173461; 0.043065; 0.002938; 0.000869; 6e-05; 5.1e-05; false; 0.223993
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1770.0.mata;0.19; 0.170585; 0.0389; 0.002969; 0.000737; 5.1e-05; 4.1e-05; false; 0.216618
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1777.0.mata;0.16; 0.14968; 0.03725; 0.002492; 0.000466; 3.2e-05; 1.5e-05; false; 0.192488
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1778.0.mata;0.26; 0.238179; 0.054124; 0.004129; 0.000905; 0.000108; 5.2e-05; false; 0.301475
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1781.0.mata;0.26; 0.252842; 0.034626; 0.002447; 0.00046; 3e-05; 1.4e-05; false; 0.292702
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1784.0.mata;0.2; 0.180522; 0.040439; 0.002981; 0.000806; 5.9e-05; 4.8e-05; false; 0.228433
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1785.0.mata;0.16; 0.14403; 0.03681; 0.002486; 0.000452; 3.1e-05; 1.3e-05; false; 0.186127
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1786.0.mata;0.29; 0.265181; 0.057616; 0.004351; 0.000919; 5.6e-05; 2.4e-05; false; 0.332527
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1789.0.mata;0.2; 0.192424; 0.035199; 0.002492; 0.000463; 3.1e-05; 1.3e-05; false; 0.233178
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_179.0.mata;0.08; 0.071765; 0.018922; 0.001359; 0.000494; 5.2e-05; 2.1e-05; false; 0.094466
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1792.0.mata;0.25; 0.223691; 0.055161; 0.003887; 0.000741; 4.9e-05; 1.9e-05; false; 0.286981
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1795.0.mata;0.28; 0.262918; 0.056525; 0.004064; 0.000893; 5.9e-05; 2.8e-05; false; 0.328706
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1798.0.mata;0.16; 0.146751; 0.034077; 0.002464; 0.000458; 3.1e-05; 1.3e-05; false; 0.186145
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1817.0.mata;0.29; 0.262717; 0.055627; 0.004242; 0.000868; 5e-05; 2.1e-05; false; 0.327678
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1847.0.mata;0.14; 0.132597; 0.025259; 0.001916; 0.000465; 3.5e-05; 3.1e-05; false; 0.162567
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_187.0.mata;0.04; 0.038981; 0.017935; 0.001356; 0.000493; 5.1e-05; 2e-05; false; 0.060573
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1874.0.mata;0.19; 0.169774; 0.042046; 0.003282; 0.000756; 7.7e-05; 5e-05; false; 0.219433
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1875.0.mata;0.18; 0.167732; 0.035525; 0.001881; 0.000408; 5.1e-05; 2.3e-05; false; 0.207545
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1877.0.mata;0.1; 0.094239; 0.025737; 0.001885; 0.000416; 5.3e-05; 2.4e-05; false; 0.12433
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1878.0.mata;0.19; 0.168219; 0.037297; 0.003123; 0.000749; 7.3e-05; 3.9e-05; false; 0.212814
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1879.0.mata;0.11; 0.092415; 0.026029; 0.002019; 0.000419; 6.5e-05; 2.4e-05; false; 0.123066
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1887.0.mata;0.2; 0.179838; 0.041561; 0.003271; 0.000871; 9.6e-05; 5e-05; false; 0.22927
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1897.0.mata;0.1; 0.093419; 0.02449; 0.001879; 0.000413; 5.4e-05; 2.3e-05; false; 0.122165
