name;automata-old-runtime;automata-old-construction;automata-old-trim;automata-old-uni;automata-old-emptiness_check;automata-old-emptiness_result;automata-old-interpretation;automata-old-overall;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-uni;automata-min-emptiness_check;automata-min-emptiness_result;automata-min-interpretation;automata-min-overall;java-automatalib-runtime;java-automatalib-construction
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-400-rhs.mata;0.24;0.2232378;0.0143088; 0.0103886000; 0.0003611000; False; 0.0281977000; 0.3017553000;1.28;0.0542946;0.0072575999999999995; 0.0064435000; 0.0002367000; False; 0.0158650000; 0.1577513000;TO;0.110118623
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-450-rhs.mata;0.23;0.1583961;0.011842400000000001; 0.0106745000; 0.0003792000; False; 0.0257858000; 0.2305376000;1.34;0.06067259999999999;0.0137096; 0.0103613000; 0.0002839000; False; 0.0270128000; 0.1548824000;TO;0.08330321199999999
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-50-rhs.mata;0.13;0.0625242;0.009672400000000001; 0.0074770000; 0.0001682000; False; 0.0200139000; 0.1293816000;0.85;0.028600499999999997;0.0076438999999999995; 0.0052155000; 0.0001822000; False; 0.0154036000; 0.1067383000;TO;0.070733733
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-500-rhs.mata;0.24;0.1836507;0.0111358; 0.0129031000; 0.0003484000; False; 0.0274429000; 0.2786130000;1.34;0.0663171;0.011504799999999999; 0.0105109000; 0.0003455000; False; 0.0251840000; 0.1887727000;TO;0.095502958
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-550-rhs.mata;0.16;0.11459330000000001;0.0072601; 0.0063402000; 0.0002101000; False; 0.0156599000; 0.1607239000;1.07;0.0660899;0.011936; 0.0112381000; 0.0002574000; False; 0.0262345000; 0.1544961000;TO;0.086829775
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-600-rhs.mata;0.2;0.16443;0.0089383; 0.0107943000; 0.0002579000; False; 0.0221594000; 0.2720562000;1.12;0.0790846;0.0159901; 0.0122830000; 0.0003854000; False; 0.0322818000; 0.1799110000;TO;0.103395068
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-650-rhs.mata;0.18;0.1218195;0.0079258; 0.0078656000; 0.0002379000; False; 0.0179513000; 0.1686653000;1.25;0.08763320000000001;0.0137666; 0.0123265000; 0.0006922000; False; 0.0301112000; 0.2068016000;TO;0.083363412
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-700-rhs.mata;0.3;0.21306029999999998;0.0188508; 0.0126772000; 0.0004200000; False; 0.0349761000; 0.2948110000;1.47;0.0964609;0.0139135; 0.0127370000; 0.0003712000; False; 0.0300738000; 0.2038049000;TO;0.142451693
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-750-rhs.mata;0.33;0.2412612;0.016678; 0.0165293000; 0.0004176000; False; 0.0370554000; 0.3268335000;1.57;0.044411;0.009221499999999999; 0.0273082000; 0.0002898000; False; 0.0388035000; 0.1242773000;TO;0.155505522
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-800-rhs.mata;0.18;0.1567097;0.0089229; 0.0079344000; 0.0002533000; False; 0.0193058000; 0.2077536000;1.17;0.0966945;0.0143963; 0.0132537000; 0.0003724000; False; 0.0310350000; 0.2256350000;TO;0.098966213
