name;mata-runtime;mata-mataparsing;mata-concat;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-concat;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-42.mata;0.0; 0.000112;0.0024159999999999997;0.0006219999999999999; 0.000189; false; 0.007505;0.37; 0.000122;0.37489700000000004;0.0020889999999999997;0.000557; 0.000113; false; 0.38183
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-43.mata;0.02; 0.000205;0.008629999999999999;0.001969; 0.0007; false; 0.025152;1.35; 0.000178;1.3688529999999999;0.007743;0.001739; 0.000549; false; 1.39082
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-44.mata;0.02; 0.000207;0.009486999999999999;0.0018410000000000002; 0.000593; false; 0.026671;1.24; 0.000216;1.2450860000000001;0.008071;0.0017560000000000002; 0.000509; false; 1.26803
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-45.mata;0.0; 8.4e-05;0.000564;0.0005920000000000001; 0.000127; false; 0.002625;0.07; 8.8e-05;0.088063;0.000569;0.00042100000000000004; 6.7e-05; false; 0.090675
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-46.mata;0.01; 0.000134;0.003398;0.0007920000000000001; 0.000258; false; 0.010393;0.44; 0.000149;0.451383;0.003102;0.000874; 0.000268; false; 0.461461
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-47.mata;0.02; 0.000201;0.008478;0.001618; 0.000512; false; 0.023808;0.72; 0.000194;0.730682;0.004727;0.001144; 0.000278; false; 0.745521
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-48.mata;0.02; 0.000223;0.006847000000000001;0.0015179999999999998; 0.000474; false; 0.019307;1.36; 0.000215;1.3737110000000001;0.006055;0.0014; 0.00032; false; 1.39219
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-49.mata;0.0; 8.5e-05;0.000572;0.000608; 0.000129; false; 0.002752;0.08; 8.7e-05;0.086217;0.000588;0.000421; 6.9e-05; false; 0.088994
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-5.mata;0.0; 9.5e-05;0.00059;0.0005579999999999999; 0.000129; false; 0.002537;0.08; 8.5e-05;0.08569199999999999;0.0005510000000000001;0.00044400000000000006; 6.5e-05; false; 0.08842
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-50.mata;0.0; 0.000121;0.002401;0.00056; 0.000204; false; 0.007315;0.47; 0.000137;0.47544200000000003;0.003245;0.000946; 0.000252; false; 0.485728
