name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-100-rhs.mata;0.07; 0.051043; 0.015306; 0.011622; 0.006841; 3e-06; true; 0.087141;0.04; 0.028349; 0.010216; 0.003623; 0.002595; 0.002159; 2e-06; true; 0.0485
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-1000-rhs.mata;1.84; 0.289107; 0.08297; 1.15277; 0.576558; 3e-06; true; 2.12024;2.43; 0.463389; 0.116327; 1.18388; 0.504445; 0.325601; 3e-06; true; 2.61463
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-150-rhs.mata;0.13; 0.079956; 0.027132; 0.028588; 0.017659; 2e-06; true; 0.15689;0.14; 0.081298; 0.028704; 0.017833; 0.013536; 0.008787; 3e-06; true; 0.153775
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-200-rhs.mata;0.21; 0.114053; 0.035127; 0.056222; 0.028907; 4e-06; true; 0.238545;0.2; 0.113965; 0.031963; 0.030407; 0.027049; 0.013284; 3e-06; true; 0.220725
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-250-rhs.mata;0.17; 0.072413; 0.025767; 0.057424; 0.031556; 1.3e-05; true; 0.191669;0.3; 0.132056; 0.047039; 0.073412; 0.042921; 0.02059; 3e-06; true; 0.325608
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-300-rhs.mata;0.41; 0.172269; 0.059964; 0.155965; 0.049547; 3e-06; true; 0.447849;0.36; 0.165718; 0.052318; 0.072967; 0.054539; 0.032802; 4e-06; true; 0.384921
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-350-rhs.mata;0.37; 0.186419; 0.037038; 0.12362; 0.071306; 2e-06; true; 0.42399;0.31; 0.17946; 0.03216; 0.06117; 0.040489; 0.032449; 2e-06; true; 0.349845
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-400-rhs.mata;0.62; 0.215144; 0.065604; 0.284462; 0.116668; 5e-06; true; 0.69438;0.52; 0.201991; 0.062819; 0.137525; 0.099196; 0.050847; 3e-06; true; 0.560982
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-450-rhs.mata;0.74; 0.242388; 0.069329; 0.345433; 0.144224; 4e-06; true; 0.811952;0.39; 0.146051; 0.038047; 0.107383; 0.074256; 0.053385; 2e-06; true; 0.423825
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-50-rhs.mata;0.01; 0.014341; 0.006709; 0.00129; 0.000832; 2e-06; true; 0.024616;0.02; 0.015988; 0.007132; 0.001156; 0.000678; 0.000365; 2e-06; true; 0.02678
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-500-rhs.mata;0.63; 0.150022; 0.04573; 0.357275; 0.171182; 3e-06; true; 0.732725;0.62; 0.25531; 0.04188; 0.138529; 0.131511; 0.090118; 3e-06; true; 0.663416
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-550-rhs.mata;0.75; 0.283786; 0.059115; 0.305673; 0.199726; 3e-06; true; 0.856526;0.57; 0.160996; 0.060006; 0.194539; 0.110877; 0.07635; 2e-06; true; 0.611677
