name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-inclusion_check;mata-inclusion_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-inclusion_check;mata-sim-inclusion_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T133-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T133-rhs.mata;0.25; 0.185436; 0.078626; 0.000589; false; 0.278911;0.33; 0.17884; 0.067515; 0.096432; 0.000337; false; 0.354692
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T134-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T134-rhs.mata;0.15; 0.103406; 0.050489; 0.000587; false; 0.164688;0.21; 0.099443; 0.047072; 0.068726; 0.000228; false; 0.223709
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T17-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T17-rhs.mata;0.05; 0.038768; 0.016389; 5.9e-05; false; 0.058366;0.07; 0.038222; 0.016108; 0.020037; 0.000115; false; 0.077335
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T19-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T19-rhs.mata;0.05; 0.038393; 0.017439; 7.9e-05; false; 0.059293;0.04; 0.022969; 0.011005; 0.012591; 9.4e-05; false; 0.048912
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T20-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T20-rhs.mata;0.5; 0.37031; 0.144936; 0.001015; false; 0.550478;0.92; 0.405548; 0.145982; 0.377497; 0.00043; false; 0.965034
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T210-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T210-rhs.mata;0.54; 0.418567; 0.149794; 0.000963; false; 0.602351;0.74; 0.209444; 0.094639; 0.447388; 0.000527; false; 0.773224
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T211-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T211-rhs.mata;0.49; 0.385378; 0.123157; 0.001141; false; 0.542438;0.68; 0.231852; 0.097951; 0.358985; 0.00043; false; 0.710887
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T212-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T212-rhs.mata;0.47; 0.362378; 0.15482; 0.000804; false; 0.547284;1.03; 0.379236; 0.135448; 0.529798; 0.000515; false; 1.07657
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T213-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T213-rhs.mata;0.5; 0.379844; 0.143892; 0.000831; false; 0.559313;0.78; 0.336569; 0.098716; 0.372299; 0.000368; false; 0.831609
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T215-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T215-rhs.mata;0.31; 0.233578; 0.097652; 0.000887; false; 0.355156;1.01; 0.347262; 0.149489; 0.539044; 0.000761; false; 1.07438
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T217-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T217-rhs.mata;0.53; 0.390399; 0.151571; 0.000847; false; 0.578758;0.83; 0.401744; 0.110477; 0.358361; 0.000481; false; 0.88923
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T219-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T219-rhs.mata;0.31; 0.222278; 0.098555; 0.0006; false; 0.342083;0.74; 0.222503; 0.092212; 0.435594; 0.00066; false; 0.771787
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T224-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T224-rhs.mata;0.5; 0.380738; 0.136146; 0.000888; false; 0.549958;1.04; 0.399029; 0.135926; 0.522095; 0.000776; false; 1.08692
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T23-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T23-rhs.mata;0.49; 0.373374; 0.139354; 0.000811; false; 0.54356;0.67; 0.215806; 0.096217; 0.38865; 0.000576; false; 0.719614
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T231-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T231-rhs.mata;0.39; 0.265991; 0.133812; 0.001192; false; 0.436632;1.04; 0.391928; 0.148131; 0.529515; 0.000535; false; 1.10288
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T232-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T232-rhs.mata;0.35; 0.282987; 0.090964; 0.000582; false; 0.392815;0.91; 0.342845; 0.09119; 0.500714; 0.0005; false; 0.955619
