name;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07756.mata;8.62; 8.78622; 0.333908; 0.000733; 0.000334; false; 9.73275;TO; 8.75574;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07783.mata;0.0; 0.002213; 0.000359; 3.1e-05; 2.3e-05; false; 0.003255;0.0; 0.002214; 0.002537; 0.00038; 3e-05; 2.6e-05; false; 0.005886
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07807.mata;0.0; 0.004678; 0.000846; 8.4e-05; 6.8e-05; false; 0.006942;0.01; 0.005206; 0.004229; 0.001054; 8.5e-05; 6.5e-05; false; 0.011981
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07937.mata;0.07; 0.065273; 0.004137; 0.000374; 0.000173; false; 0.081735;0.43; 0.062974; 0.376385; 0.004056; 0.000323; 0.000191; false; 0.454281
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07947.mata;0.01; 0.006343; 0.001621; 0.000167; 4.6e-05; false; 0.01023;0.02; 0.006032; 0.012276; 0.001648; 0.000144; 8.9e-05; false; 0.021972
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08001.mata;0.02; 0.014739; 0.008659; 0.000363; 4.5e-05; false; 0.026897;0.03; 0.013433; 0.010693; 0.009066; 0.000405; 4.8e-05; false; 0.036866
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08023.mata;0.03; 0.024347; 0.003929; 0.000495; 5.9e-05; false; 0.035752;0.43; 0.016498; 0.430945; 0.004277; 0.000731; 7.6e-05; false; 0.457213
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08029.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08074.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08114.mata;0.4; 0.083124; 0.283996; 0.008886; 0.000537; false; 0.412859;0.5; 0.088357; 0.105792; 0.267919; 0.009528; 0.000519; false; 0.509371
