name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-uni;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-uni;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-500-rhs.mata;0.3; 0.252023; 0.070291; 0.000607; 0.000452; 0.000151; false; 0.3328;0.23; 0.145116; 0.043519; 0.070609; 0.000387; 0.000194; 8.3e-05; false; 0.26848
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-550-rhs.mata;0.33; 0.271789; 0.075077; 0.00072; 0.001218; 0.000147; false; 0.364208;0.47; 0.282304; 0.071054; 0.135753; 0.000759; 0.000353; 0.000153; false; 0.501073
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-600-rhs.mata;0.22; 0.176248; 0.057325; 0.000361; 0.000513; 7.2e-05; false; 0.242892;0.39; 0.212876; 0.053271; 0.144623; 0.000982; 0.000698; 0.000199; false; 0.421198
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-650-rhs.mata;0.35; 0.288633; 0.082714; 0.000789; 0.000853; 0.000134; false; 0.386008;0.42; 0.225882; 0.052861; 0.15634; 0.000906; 0.000393; 0.00016; false; 0.444224
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-700-rhs.mata;0.32; 0.292173; 0.057269; 0.000403; 0.000473; 7.6e-05; false; 0.358978;0.66; 0.349757; 0.086859; 0.236388; 0.000953; 0.000556; 0.00012; false; 0.688213
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-750-rhs.mata;0.31; 0.272102; 0.062528; 0.000422; 0.000441; 8.1e-05; false; 0.344;0.73; 0.378257; 0.098035; 0.27522; 0.001028; 0.000482; 0.000102; false; 0.774965
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-800-rhs.mata;0.48; 0.397393; 0.101358; 0.000982; 0.001008; 0.000132; false; 0.518152;0.49; 0.229805; 0.064038; 0.224722; 0.0006; 0.000392; 0.000111; false; 0.529255
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-850-rhs.mata;0.53; 0.425813; 0.12313; 0.001375; 0.000912; 0.000155; false; 0.569325;0.57; 0.253352; 0.078372; 0.260187; 0.000672; 0.000489; 0.000111; false; 0.604224
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-900-rhs.mata;0.54; 0.452219; 0.12046; 0.001074; 0.000958; 0.000171; false; 0.594078;0.85; 0.446423; 0.117478; 0.324058; 0.000746; 0.00059; 0.000101; false; 0.906705
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-950-rhs.mata;0.33; 0.272514; 0.084959; 0.000573; 0.000791; 0.000134; false; 0.370986;1.03; 0.477298; 0.118288; 0.472961; 0.001348; 0.00094; 0.000228; false; 1.08853
