name;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1736.0.mata;0.09; 0.085446; 0.009936; 0.000743; 0.000277; false; 0.106842;0.1; 0.081396; 0.011898; 0.002617; 0.000189; 7.9e-05; false; 0.105293
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1737.0.mata;0.09; 0.081968; 0.009619; 0.000656; 0.000278; false; 0.102417;0.09; 0.079741; 0.013214; 0.00268; 0.000228; 0.000112; false; 0.105316
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1738.0.mata;0.09; 0.079053; 0.009514; 0.000613; 0.000272; false; 0.099128;0.09; 0.0832; 0.012456; 0.002676; 0.00022; 0.000112; false; 0.107967
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1739.0.mata;0.09; 0.081145; 0.009589; 0.000757; 0.000314; false; 0.101754;0.09; 0.080897; 0.012216; 0.002645; 0.000202; 9.1e-05; false; 0.105376
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1741.0.mata;0.09; 0.078916; 0.008874; 0.000507; 0.00023; false; 0.099596;0.1; 0.081401; 0.013513; 0.002593; 0.000222; 6.7e-05; false; 0.107542
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1748.0.mata;0.07; 0.060033; 0.007931; 0.000481; 0.000215; false; 0.075923;0.07; 0.061585; 0.01011; 0.002809; 0.000238; 7.7e-05; false; 0.081761
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1749.0.mata;0.11; 0.095509; 0.009738; 0.000732; 0.000277; false; 0.117194;0.11; 0.093859; 0.013643; 0.002173; 0.000216; 0.000111; false; 0.120236
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_175.0.mata;0.02; 0.025667; 0.003654; 0.000261; 0.000105; false; 0.033;0.03; 0.024463; 0.004282; 0.001709; 0.00012; 6.2e-05; false; 0.033735
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1752.0.mata;0.06; 0.057116; 0.008329; 0.00062; 0.000224; false; 0.074292;0.05; 0.048745; 0.006143; 0.00144; 0.000137; 5.5e-05; false; 0.060643
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1755.0.mata;0.06; 0.057029; 0.008527; 0.000725; 0.000287; false; 0.074016;0.06; 0.04827; 0.010153; 0.002744; 0.000254; 9e-05; false; 0.068523
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1758.0.mata;0.07; 0.058959; 0.008548; 0.000617; 0.00025; false; 0.075625;0.07; 0.062219; 0.012099; 0.003252; 0.000436; 9.9e-05; false; 0.085539
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1761.0.mata;0.07; 0.061702; 0.008978; 0.000847; 0.000313; false; 0.079759;0.07; 0.062388; 0.009711; 0.002754; 0.000217; 7.4e-05; false; 0.082305
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1764.0.mata;0.07; 0.058978; 0.008865; 0.000654; 0.000244; false; 0.076194;0.07; 0.057322; 0.010244; 0.002743; 0.000261; 9.1e-05; false; 0.07782
