name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-inclusion_check;mata-inclusion_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-inclusion_check;mata-sim-inclusion_check_result;mata-sim-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-inclusion_check;awali-inclusion_check_result;awali-overall
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T126-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T126-rhs.mata;0.05; 0.038669; 0.016856; 4.3e-05; false; 0.058894;0.15; 0.071652; 0.03157; 0.055865; 0.000146; false; 0.166092;0.05; 0.039572; 0.018716;0.000864; 0.007733; false; 0.071095
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T127-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T127-rhs.mata;0.05; 0.042598; 0.019084; 4.4e-05; false; 0.065338;0.09; 0.043588; 0.020075; 0.033086; 0.000113; false; 0.10065;0.12; 0.07539; 0.033665;0.0016909999999999998; 0.013573; false; 0.131249
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T128-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T128-rhs.mata;0.05; 0.04236; 0.018548; 4.8e-05; false; 0.064414;0.17; 0.079864; 0.034634; 0.061208; 0.00013; false; 0.18301;0.07; 0.043936; 0.020241;0.000919; 0.007534; false; 0.076443
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T129-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T129-rhs.mata;0.05; 0.042545; 0.01858; 4.5e-05; false; 0.064682;0.16; 0.075519; 0.035074; 0.057885; 0.000132; false; 0.176124;0.09; 0.070168; 0.020947;0.000987; 0.007537; false; 0.104065
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T13-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T13-rhs.mata;0.02; 0.01554; 0.008015; 6.1e-05; false; 0.025005;0.03; 0.014753; 0.007895; 0.010192; 0.000163; false; 0.034488;0.04; 0.026202; 0.013079;0.000604; 0.006402; false; 0.049354
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T130-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T130-rhs.mata;0.08; 0.066777; 0.021139; 4.6e-05; false; 0.092272;0.16; 0.07673; 0.035879; 0.060909; 0.000141; false; 0.181419;0.07; 0.044358; 0.021418;0.000983; 0.007912; false; 0.07931
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T131-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T131-rhs.mata;0.01; 0.012237; 0.007764; 2.1e-05; false; 0.021549;0.02; 0.012191; 0.007874; 0.007831; 3e-05; false; 0.029613;0.03; 0.022015; 0.011924;0.000455; 0.005218; false; 0.0424
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T132-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T132-rhs.mata;0.03; 0.022601; 0.012921; 2.3e-05; false; 0.038021;0.04; 0.019491; 0.012826; 0.012843; 2.6e-05; false; 0.048035;0.03; 0.021367; 0.011304;0.000394; 0.005008; false; 0.040804
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T133-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T133-rhs.mata;0.13; 0.098308; 0.041928; 0.000947; false; 0.149077;0.24; 0.166634; 0.070828; 0.015464; 0.001712; false; 0.268973;0.17; 0.097591; 0.052095;0.004422000000000001; 0.021378; false; 0.187708
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T134-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T134-rhs.mata;0.22; 0.168898; 0.063852; 0.007613; false; 0.252205;0.22; 0.173251; 0.046511; 0.007632; 0.004767; false; 0.240546;0.2; 0.149434; 0.042873;0.002489; 0.013075; false; 0.21629
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T17-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T17-rhs.mata;0.02; 0.02042; 0.0102; 4.4e-05; false; 0.032602;0.07; 0.034681; 0.018058; 0.023847; 0.000133; false; 0.08013;0.06; 0.034831; 0.017011;0.0008449999999999999; 0.008675; false; 0.065293
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T19-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T19-rhs.mata;0.06; 0.041483; 0.020124; 0.000172; false; 0.065866;0.08; 0.039681; 0.019049; 0.028059; 0.000248; false; 0.090878;0.06; 0.039298; 0.017797;0.000911; 0.007922; false; 0.069904
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T20-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T20-rhs.mata;0.5; 0.361346; 0.151168; 0.000655; false; 0.551798;0.52; 0.379676; 0.155606; 0.00224; 0.000616; false; 0.574932;0.56; 0.373441; 0.152484;0.010894000000000001; 0.042381; false; 0.612715
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T210-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T210-rhs.mata;0.53; 0.376771; 0.152246; 0.003952; false; 0.57124;0.53; 0.38265; 0.155048; 0.004142; 0.003841; false; 0.580754;0.57; 0.381432; 0.152468;0.009582; 0.037784; false; 0.611802
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T211-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T211-rhs.mata;0.56; 0.398649; 0.166212; 0.017103; false; 0.617854;0.56; 0.395851; 0.157657; 0.01504; 0.017022; false; 0.624159;0.61; 0.402051; 0.161535;0.010579; 0.044176; false; 0.65138
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T212-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T212-rhs.mata;0.51; 0.367667; 0.148583; 0.003783; false; 0.556197;0.49; 0.353149; 0.140405; 0.003931; 0.003928; false; 0.5353;0.59; 0.390125; 0.152717;0.009468; 0.041553; false; 0.625376
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T213-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T213-rhs.mata;0.53; 0.372989; 0.158632; 7.3e-05; false; 0.567919;0.52; 0.387683; 0.150575; 0.002064; 5.7e-05; false; 0.576573;0.52; 0.357806; 0.139689;0.009002; 0.034277; false; 0.57014
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T215-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T215-rhs.mata;0.57; 0.400832; 0.165279; 0.016884; false; 0.620746;0.55; 0.377903; 0.150656; 0.013565; 0.016078; false; 0.594015;0.6; 0.398974; 0.16494;0.010539999999999999; 0.042701; false; 0.651927
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T217-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T217-rhs.mata;0.53; 0.380328; 0.15043; 0.016742; false; 0.580958;0.59; 0.399719; 0.1657; 0.01471; 0.017337; false; 0.636597;0.54; 0.371379; 0.141942;0.009443; 0.039141; false; 0.591347
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T219-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T219-rhs.mata;0.51; 0.357882; 0.140342; 0.019207; false; 0.555171;0.58; 0.39144; 0.159471; 0.015692; 0.017315; false; 0.626137;0.52; 0.355086; 0.138964;0.010164; 0.039982; false; 0.573621
