name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-150-rhs.mata;0.12; 0.066834; 0.019225; 0.025336; 0.016283; 3.3e-05; false; 0.13012;0.12; 0.076685; 0.02519; 0.015077; 0.011739; 0.008275; 3.4e-05; false; 0.140857;0.39; 0.07524; 0.023006;0.000681; 0.079389; 0.163107; 0.046622; false; 0.392093
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-200-rhs.mata;0.2; 0.105183; 0.028519; 0.053076; 0.033139; 0.000102; false; 0.224743;0.17; 0.094726; 0.028357; 0.029273; 0.021109; 0.018985; 3.2e-05; false; 0.196434;0.58; 0.11126; 0.033183;0.000811; 0.117802; 0.216971; 0.08437; false; 0.569276
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-250-rhs.mata;0.24; 0.119075; 0.035406; 0.0718; 0.040151; 8.4e-05; false; 0.271596;0.18; 0.115334; 0.023719; 0.025863; 0.015977; 0.013753; 2.4e-05; false; 0.197604;1.08; 0.114077; 0.033635;0.001004; 0.254626; 0.513569; 0.132735; false; 1.05503
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-300-rhs.mata;0.31; 0.140529; 0.04059; 0.113066; 0.058867; 6.7e-05; false; 0.358903;0.3; 0.140793; 0.040443; 0.067413; 0.048075; 0.028498; 3.7e-05; false; 0.330947;1.61; 0.138031; 0.049762;0.0010969999999999999; 0.377446; 0.782904; 0.184203; false; 1.5388
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-350-rhs.mata;0.43; 0.160403; 0.048503; 0.180773; 0.084322; 0.000153; false; 0.482185;0.37; 0.155421; 0.046467; 0.102946; 0.070819; 0.033277; 4.8e-05; false; 0.416747;2.3; 0.177197; 0.053931;0.0017070000000000002; 0.646776; 1.05247; 0.268709; false; 2.20879
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-400-rhs.mata;0.36; 0.11702; 0.038576; 0.160902; 0.079883; 0.000108; false; 0.404482;0.49; 0.189266; 0.052798; 0.121417; 0.096979; 0.052435; 5.6e-05; false; 0.520198;2.13; 0.118853; 0.035613;0.0009919999999999998; 0.597799; 1.02132; 0.268689; false; 2.04756
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-450-rhs.mata;0.61; 0.205416; 0.058682; 0.277559; 0.131598; 0.000214; false; 0.686103;0.59; 0.205916; 0.060821; 0.170861; 0.114279; 0.068787; 0.000117; false; 0.631413;3.88; 0.225355; 0.058248;0.001746; 1.08227; 1.90987; 0.439617; false; 3.72453
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-50-rhs.mata;0.04; 0.023951; 0.011235; 0.00262; 0.00137; 1.5e-05; false; 0.042408;0.03; 0.022707; 0.010069; 0.001748; 0.001054; 0.000517; 1e-05; false; 0.038774;0.04; 0.02293; 0.010715;0.00025100000000000003; 0.006153; 0.008121; 0.002771; false; 0.053834
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-500-rhs.mata;0.73; 0.239888; 0.065019; 0.384878; 0.12424; 0.000101; false; 0.826434;0.47; 0.149036; 0.049451; 0.000246; 0.223356; 0.113389; 0.000147; false; 0.54416;3.85; 0.21573; 0.048551;0.0014759999999999999; 1.06803; 1.91783; 0.436839; false; 3.69532
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-550-rhs.mata;0.87; 0.238887; 0.077325; 0.439438; 0.204954; 0.000215; false; 0.97477;0.85; 0.267443; 0.068341; 0.000429; 0.439076; 0.196506; 0.000143; false; 0.983419;5.51; 0.271162; 0.067023;0.001924; 1.7916; 2.64792; 0.539049; false; 5.32678
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-600-rhs.mata;0.82; 0.291785; 0.076538; 0.362087; 0.182727; 0.000153; false; 0.92651;0.99; 0.266617; 0.074152; 0.000491; 0.592486; 0.165341; 0.000121; false; 1.11434;6.03; 0.179788; 0.059217;0.001655; 1.72255; 3.02387; 0.707397; false; 5.70279
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-650-rhs.mata;0.94; 0.314054; 0.063953; 0.481015; 0.188876; 0.000251; false; 1.06216;1.27; 0.301273; 0.08524; 0.00058; 0.722234; 0.317261; 0.000335; false; 1.44614;6.96; 0.20461; 0.058621;0.0017499999999999998; 1.95951; 3.61157; 0.815684; false; 6.65927
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-700-rhs.mata;1.39; 0.335875; 0.092258; 0.802071; 0.315877; 0.005234; false; 1.57109;1.39; 0.326765; 0.082982; 0.000601; 0.783978; 0.344802; 0.005987; false; 1.56314;9.55; 0.33808; 0.098422;0.003771; 3.05267; 4.53322; 1.05301; false; 9.09486
