name;automata-runtime;automata-construction;automata-trim;mata-runtime;mata-mataparsing;mata-mataminterm;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;mona-runtime;mona-mataparsing;mona-mataminterm;pymata-runtime;pyfado-runtime;pyautomata-lib-runtime;java-automatalib-runtime;java-brics-runtime;java-brics-construction
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-200-rhs.mata;TO;0.09519739999999999;0.009698199999999999;TO; 0.09485; 0.030927;TO; 0.10271; 0.02799;TO; 0.106194; 0.029219;0.005764;TO; 0.093056; 0.02997;0.0009159999999999999;ERR;ERR;ERR;TO;TO;TO;TO;TO;0.09245620700000001
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-250-rhs.mata;TO;0.18319760000000002;0.0105896;TO; 0.133188; 0.039634;TO; 0.12451; 0.037438;TO; 0.126376; 0.035221;0.007053;TO; 0.124083; 0.034336;0.001181;ERR;ERR;ERR;TO;TO;TO;TO;TO;0.123042698
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-300-rhs.mata;TO;0.1599282;0.0100524;TO; 0.156868; 0.050945;TO; 0.1489; 0.040496;TO; 0.154846; 0.044082;0.009372;TO; 0.173702; 0.032697;0.001356;TO; 0.155033; 0.04918;ERR;TO;TO;TO;TO;0.109782739
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-350-rhs.mata;TO;0.1580684;0.0119538;TO; 0.165167; 0.059326;TO; 0.183428; 0.049268;TO; 0.178714; 0.046569;0.010833;TO; 0.180386; 0.05089;0.0019359999999999998;TO; 0.197043; 0.06079;TO;TO;TO;TO;TO;0.101036602
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-400-rhs.mata;TO;0.1777471;0.0107779;TO; 0.201144; 0.060319;TO; 0.21089; 0.049814;TO; 0.200933; 0.05507;0.011555;TO; 0.179099; 0.051335;0.0020670000000000003;TO; 0.135362; 0.042315;TO;TO;TO;TO;TO;0.19789956
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-450-rhs.mata;TO;0.14793489999999998;0.010584;TO; 0.249521; 0.058338;TO; 0.237605; 0.060555;TO; 0.148187; 0.046792;0.009759;TO; 0.226984; 0.055841;0.002332;TO; 0.14009; 0.043955;TO;TO;TO;TO;TO;0.5960483299999999
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-50-rhs.mata;TO;0.0732563;0.005956400000000001;TO; 0.022771; 0.010068;TO; 0.02703; 0.011145;TO; 0.025277; 0.01197;0.001299;TO; 0.02285; 0.01086;0.000246;ERR;ERR;ERR;TO;TO;TO;TO;TO;0.048571338000000006
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-500-rhs.mata;TO;0.21123940000000002;0.0112654;TO; 0.273377; 0.076615;TO; 0.249211; 0.061776;TO; 0.252892; 0.053207;0.015619999999999998;TO; 0.258938; 0.079585;0.002902;TO; 0.270801; 0.07538;ERR;TO;TO;TO;TO;0.089361233
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-550-rhs.mata;TO;0.1813192;0.0125509;TO; 0.282577; 0.076741;TO; 0.287112; 0.069154;TO; 0.294071; 0.075678;0.020464;TO; 0.288388; 0.071316;0.002929;TO; 0.261969; 0.083491;TO;TO;TO;TO;TO;0.08942581699999999
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-600-rhs.mata;TO;0.1851521;0.019294099999999998;TO; 0.357383; 0.095173;TO; 0.308453; 0.091606;TO; 0.310235; 0.085256;0.019874;TO; 0.313016; 0.083803;0.002993;TO; 0.17247; 0.051162;TO;TO;TO;TO;TO;0.105081319
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-650-rhs.mata;TO;0.2068736;0.012435700000000001;TO; 0.32466; 0.085125;TO; 0.337579; 0.089456;TO; 0.339352; 0.089938;0.022305;TO; 0.33602; 0.094305;0.0033309999999999998;TO; 0.224448; 0.067375;TO;TO;TO;TO;TO;0.095900815
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-700-rhs.mata;TO;0.2465741;0.0077234;TO; 0.292101; 0.074825;TO; 0.28956; 0.091188;TO; 0.356907; 0.09593;0.023079000000000002;TO; 0.356821; 0.097519;0.003828;TO; 0.203651; 0.061901;TO;TO;TO;TO;TO;0.087167685
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-750-rhs.mata;TO;0.2355355;0.0120444;TO; 0.417389; 0.128975;TO; 0.390264; 0.092955;TO; 0.368275; 0.072462;0.01685;TO; 0.37165; 0.105887;0.004173;TO; 0.389781; 0.117387;TO;TO;TO;TO;TO;0.139470967
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-800-rhs.mata;TO;0.26051939999999996;0.0230807;TO; 0.41288; 0.121321;TO; 0.403771; 0.093867;TO; 0.421235; 0.115385;0.035236;TO; 0.269539; 0.10098;0.004082;TO; 0.407171; 0.111789;TO;TO;TO;TO;TO;0.123205765
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-850-rhs.mata;TO;0.25253919999999996;0.0130241;TO; 0.419172; 0.124435;TO; 0.443628; 0.107437;TO; 0.445769; 0.12539;0.03923;TO; 0.435414; 0.106149;0.0045520000000000005;TO; 0.360599; 0.145597;TO;TO;TO;TO;TO;0.115247744
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-900-rhs.mata;TO;0.2509281;0.0126508;TO; 0.503521; 0.138638;TO; 0.473197; 0.115841;TO; 0.372273; 0.11599;0.02903;TO; 0.393292; 0.092233;0.0043289999999999995;TO; 0.264326; 0.083521;TO;TO;TO;TO;TO;0.22353674
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-950-rhs.mata;TO;0.2217826;0.0113891;TO; 0.540554; 0.155376;TO; 0.34662; 0.084265;TO; 0.373231; 0.113292;0.028898999999999998;TO; 0.488101; 0.14476;0.005308;TO; 0.292761; 0.095085;TO;TO;TO;TO;TO;0.120179481
