name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-intersection;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-250-rhs.mata;0.11; 0.085569; 0.035833; 3e-06; 4e-06; 3e-06; true; 0.127556;0.22; 0.10894; 0.022476; 0.06701; 0.04486; 8.6e-05; false; 0.247479
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-300-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.36; 0.158592; 0.043137; 0.122199; 0.068188; 7.5e-05; false; 0.397953
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-350-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.41; 0.13127; 0.062528; 0.179672; 0.07082; 7.2e-05; false; 0.454844
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-400-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.55; 0.216226; 0.061305; 0.235416; 0.085653; 0.000113; false; 0.607144
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-450-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.64; 0.200183; 0.060499; 0.289985; 0.146002; 0.000169; false; 0.709886
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-50-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.02; 0.016894; 0.007607; 0.001153; 0.000796; 8e-06; false; 0.028171
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-500-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.79; 0.176269; 0.06248; 0.439208; 0.197919; 0.000241; false; 0.888248
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-550-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.85; 0.276551; 0.075431; 0.449355; 0.153563; 0.000139; false; 0.968644
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-600-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.96; 0.259471; 0.070328; 0.526058; 0.235662; 0.000365; false; 1.1065
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-650-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.08; 0.256607; 0.071025; 0.677077; 0.212013; 0.000137; false; 1.23202
