name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-inclusion_check;mata-inclusion_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-inclusion_check;mata-old-inclusion_check_result;mata-old-overall
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T231-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T231-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.53; 0.392149; 0.153444; 0.000718; false; 0.588968
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T232-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T232-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.52; 0.371647; 0.151466; 0.000248; false; 0.567344
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T233-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T233-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.74; 0.516773; 0.21529; 7.7e-05; false; 0.788865
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T234-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T234-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.69; 0.512298; 0.194311; 4.8e-05; false; 0.746081
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T235-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T235-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.49; 0.359023; 0.139589; 5.7e-05; false; 0.529935
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T236-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T236-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.32; 0.227309; 0.107677; 7.4e-05; false; 0.36378
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T237-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T237-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.39; 0.310633; 0.09749; 5.3e-05; false; 0.434573
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T238-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T238-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.48; 0.331062; 0.15368; 0.000592; false; 0.521903
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T239-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T239-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.49; 0.353644; 0.14365; 9.2e-05; false; 0.540948
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T24-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T24-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.49; 0.36388; 0.143384; 0.000703; false; 0.54399
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T25-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T25-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.37; 0.248829; 0.13398; 0.002241; false; 0.411448
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T26-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T26-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.33; 0.23568; 0.099522; 0.000411; false; 0.362321
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T27-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T27-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.53; 0.350198; 0.177388; 0.010414; false; 0.574274
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T28-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T28-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.51; 0.369422; 0.147039; 0.004047; false; 0.561115
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T29-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T29-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.55; 0.380388; 0.154459; 0.018665; false; 0.597367
/home/experiments/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-2-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.59; 0.388553; 0.191822; 0.014781; true; 0.650277
/home/experiments/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-3-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.92; 0.62958; 0.256575; 0.024024; true; 0.985184
/home/experiments/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-0-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.91; 0.654583; 0.234985; 0.014335; true; 0.961489
/home/experiments/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-1-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.63; 0.413404; 0.192119; 0.018573; true; 0.680238
/home/experiments/nfa-bench/benchmarks/automata_inclusion/true-IBakery-4P-BinEnc-BwBad-A-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/true-IBakery-4P-BinEnc-BwBad-A-0-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.58; 0.092989; 0.041329; 0.45475; true; 0.596747
/home/experiments/nfa-bench/benchmarks/automata_inclusion/true-IBakery-4P-BinEnc-BwBadi-B-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/true-IBakery-4P-BinEnc-BwBadi-B-3-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;1.01; 0.113059; 0.046642; 0.863812; true; 1.03223
