name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-inclusion_check;mata-inclusion_check_result;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-intersection;mata-old-trim;mata-old-inclusion_check;mata-old-inclusion_check_result
/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut11.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut19.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut39.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut47.mata;0.04; 0.0304164; 0.0166196;0.000589566;0.00012473800000000002; 6.265e-06; true;0.05; 0.0428469; 0.0151256;0.0005694750000000001;0.000127198; 4.87e-06; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut11.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut23.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut46.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.08; 0.0609148; 0.0287226;0.000441498;0.00012289400000000002; 8.033e-06; true;0.11; 0.0849195; 0.0268121;0.0005212540000000001;9.825999999999998e-05; 7.157e-06; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut11.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut64.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut74.mata;0.09; 0.0548635; 0.040432;0.001089503;0.00023356699999999998; 7.632e-06; true;0.1; 0.0846248; 0.0263854;0.000592588;0.00010350499999999999; 4.414e-06; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut12.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut38.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut46.mata;0.04; 0.0381223; 0.0102945;0.000759864;0.00022173899999999999; 3.0858e-05; false;0.03; 0.0298972; 0.0102888;0.000786023;0.00021160299999999999; 2.9638e-05; false
/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut12.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut53.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut59.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.08; 0.0626626; 0.0343255;0.0007795939999999999;0.000241786; 8.484e-06; true;0.07; 0.0598852; 0.0215314;0.0008406689999999999;0.00035084; 1.0191e-05; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut52.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut63.mata;0.04; 0.0400835; 0.0156536;0.00021320400000000001;4.6714999999999996e-05; 9.158e-06; true;0.03; 0.0296489; 0.00981361;0.000109836;2.9008e-05; 5.726e-06; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut40.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut52.mata;0.04; 0.0241213; 0.0163176;0.00030652200000000004;9.313799999999999e-05; 6.05e-06; true;0.03; 0.0267543; 0.00999906;0.000171037;4.1331e-05; 6.003e-06; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut34.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut39.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut65.mata;0.03; 0.0271558; 0.0142826;0.000207028;4.6114e-05; 4.739e-06; true;0.06; 0.0564984; 0.0144384;0.00020905999999999998;4.8241e-05; 5.869e-06; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut47.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut71.mata;0.03; 0.0226463; 0.00878582;7.7677e-05;3.4272e-05; 2.0584e-05; false;0.03; 0.0327832; 0.00860779;0.000129309;3.568e-05; 2.5147e-05; false
/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut19.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut34.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut67.mata;0.04; 0.0333743; 0.0139252;5.2297000000000004e-05;1.3517000000000001e-05; 6.311e-06; true;0.05; 0.040656; 0.0138387;5.077e-05;1.4319e-05; 5.693e-06; true
