name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-intersection;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-450-rhs.mata;0.45; 0.1727; 0.0500946; 0.192986; 0.0825652; 0.000237517; false;0.43; 0.15214; 0.0338663; 0.20968; 0.0808337; 0.000111019; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-50-rhs.mata;0.03; 0.026027; 0.0114188; 0.00295097; 0.00118191; 9.539e-06; false;0.01; 0.015349; 0.00672376; 0.0012616; 0.000663038; 5.533e-06; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-500-rhs.mata;0.5; 0.166007; 0.0559793; 0.226336; 0.0958385; 9.9005e-05; false;0.47; 0.17496; 0.0337374; 0.228549; 0.0954257; 7.4313e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-550-rhs.mata;0.67; 0.184988; 0.0595176; 0.356457; 0.141776; 0.000259133; false;0.66; 0.193234; 0.0383367; 0.375816; 0.13619; 9.412e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-600-rhs.mata;0.7; 0.214665; 0.0860451; 0.342001; 0.131736; 0.000120183; false;0.67; 0.200718; 0.0606429; 0.35302; 0.131538; 0.000117667; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-650-rhs.mata;0.8; 0.204816; 0.0719847; 0.441781; 0.170075; 0.000162986; false;0.8; 0.214727; 0.0479299; 0.449934; 0.168248; 0.000286868; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-700-rhs.mata;0.98; 0.231997; 0.0849505; 0.587565; 0.165045; 0.000169598; false;0.83; 0.22415; 0.054826; 0.496085; 0.156368; 0.000123352; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-750-rhs.mata;1.02; 0.250369; 0.0742548; 0.601717; 0.216686; 0.00015414; false;1.03; 0.248268; 0.0460944; 0.647137; 0.213635; 0.000160816; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-800-rhs.mata;1.26; 0.289151; 0.0875204; 0.780502; 0.238125; 0.000190987; false;1.11; 0.271351; 0.0550768; 0.68254; 0.231014; 0.000155959; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-850-rhs.mata;1.39; 0.272369; 0.0919523; 0.929209; 0.237107; 0.000274021; false;1.19; 0.2774; 0.0514751; 0.781837; 0.231612; 0.000260431; false
